"Project 
Name",Company,"Plant 
Name","Storage and/or 
Capture","Overall 
Status","Plant 
Status","Project 
Phase","Country
Location","State 
Location","Specific 
Site Location","Plant Size or 
Capture Amount","Power or 
Capture Unit","Combustion/
Separation","Capture 
Technology","Amount of CO2 
Captured/Stored","Captured/Stored 
Unit","Project 
Summary","Project 
Start Date","Project 
Cost",Currency,"Project Information 
Webpage"
Korea CCS1,Korean Electric Power Corporation,300 MW Coal-Fired Power Plant TBD,Capture and Storage,Active,In Development,Site Selection,South Korea,Gangwon,Northeast Korea,300,Megawatt,Post-Combustion,Amines,2739.99990895391,Metric Tons Per Day,Proposed plan to construct a 300 coal-fired or IGCC plant and capture CO2 using either post-combustion. 1.2 million metric tons per year of CO2 will be transported to one of 4 saline aquifers under review. Sites have not been selected.,01/01/2018,,US Dollar,http://www.globalccsinstitute.com/project/korea-ccs-1
Kurosaki Chemical Plant Capture Project,Mitsubishi Heavy Industries,Kurosaki Chemical Plant,Capture,Active,Existing,Capture Ongoing,Japan,Hokkaido Prefecture,Fukuoka,18,Megawatt,,Amines,330,Metric Tons Per Day,Capture from a chemical plant in Kurosaki. Able to capture 283 metric tons CO2/day and maximum of 330 metric tons CO2/day.,10/01/2005,,Japanese Yen,http://globalenergyobservatory.org/geoid/40203
Kwinana Project,Hydrogen Energy International LLC,Industrial-Scale Coal-Based Hydrogen Generating Facility ,Capture and Storage,Terminated,Cancelled,Plant Design,Australia,Western Australia,Kwinana,500,Megawatt,Pre-Combustion,,10959.9996358156,Metric Tons Per Day,"The Kwinana project will create hydrogen from coal gasification to produce 500 MW of electricity. The captured CO2 is transported offshore to be sequestered in the Perth Basin. The geological rock formation in the basin contained ""gas chimneys.""",01/01/2014,2000000000,Australian Dollar,http://sequestration.mit.edu/tools/projects/bp_rio_tinto_kwinana.html
Large Pilot Testing of Linde/BASF Advanced Post-Combustion CO2 Capture Technology at a Coal-Fired Power Plant,University of Illinois at Urbana-Champaign,TBD,Capture,Active,Existing,Engineering design,United States,Illinois,,10,Megawatt,Post-Combustion,Linde-BASF Solvent System,,,Design an amine-based CO2 capture pilot-scale (10 MWe) system at an existing coal-fired power plant.,04/04/2018,899744,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0031581
Large Pilot Testing of the MTR Membrane Post-Combustion CO2 Capture Process,"Membrane Technology and Research, Inc (MTR)","TBD NRG Energy, Inc.",Capture,Active,Existing,Engineering design,United States,California,,200,Metric Tons Per Day,Post-Combustion,MTR Polaris™ Membrane System,,,Design a 200 metric ton of CO2 per day large-pilot capture system at a coal-fired power plant operated by NRG Energy.,04/01/2018,1196388,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0031587
Ledvice CEZ Capture and Storage Project,CEZ Group,Ledvice Power Plant,Capture and Storage,Potential,Existing,Plant in Operation,Czech Republic,,Ledvice,660,Megawatt,Post-Combustion,,,,CEZ Group is proposing that the Czech Republic utilize part of its emission credits (Kyoto Protocol) to design CCS technologies for the Ledvice power plant.,01/01/2013,,US Dollar,http://globalenergyobservatory.org/geoid/40321
Leucadia Energy Capture Project - Louisiana,Leucadia Energy LLC,Lake Charles Co-Generation Plant,Capture and Storage,Terminated,Existing,,United States,Louisiana,Lake Charles,,,Pre-Combustion,Cold Methanol (Rectisol),12329.9995902926,Metric Tons Per Day,Proposed SNG plant to use petroleum coke to produce methane and make synthetic natural gas. The CO2 can be pumped into oil fields to extract crude oil more efficiently. The plant would demonstrate large-scale recovery of 4 million tons per year of CO2.,11/16/2009,435587194,US Dollar,http://www.netl.doe.gov/File%20Library/Research/Coal/major%20demonstrations/iccus/FE0002314.pdf
Lianyungang IGCC with CO2 Capture,Chinese Government,Lianyungang R&D IGCC Facility,Capture,Terminated,In Development,Plant Design,China,Jiangsu Province,Coastal Jiangsu,1200,Megawatt,Pre-Combustion,Gas Separation,2739.99990895391,Metric Tons Per Day,"Will utilize power and chemical coproduction plants to capture up to 1 million metric tons CO2 and transport via pipeline to use in EOR. Also constructing a 1,300-MW ultra pulverized coal power plant.",,,Chinese Yuan,http://www.zeroco2.no/projects/lianyungang-igcc
Liaohe EOR Project,Chinese Government,Jingzhou Oil Extraction Plant,Storage,Completed,Existing,Injection Complete,China,,"Bohai Basin, Gansu",,,Post-Combustion,,2300,Metric Tons Total,The project injected flue gas into a depleting oil field for EOR. It started in 1998 and the EOR proved effective with injecting flue gas. Phase II will look at separating CO2 via membrane and recirculating the CO2 to increase CO2 concentration.,01/01/1998,,US Dollar,http://www.netl.doe.gov/publications/proceedings/01/carbon_seq/p3.pdf
Lima Polygen,Global Energy,Lima IGCC,Capture and Storage,Hold,In Development,Permitting,United States,Ohio,Lima,540,Megawatt,Pre-Combustion,,7671.99974507093,Metric Tons Per Day,"Primary production of the Lima Energy IGCC project will be 540 MW of electrical power, 26 BCF/year of synthetic natural gas, and 6 million SCF/day of hydrogen. The CO2 will be used for sequestration or EOR.",01/01/2013,,US Dollar,http://www.limaohio.com/news/149379/lima-energy-applied-for-certificate-with-plans-to-transfer-it
LINC Energy - Wyoming EOR,LINC Energy,,Storage,Active,,Injection Ongoing,United States,Wyoming,Glenrock,,,,,500,Metric Tons Total,"Linc Energy has commenced the injection of CO2 into its first well in its Glenrock, Wyoming, oil fields. Linc Energy expects to recover more than 80 million barrels of oil. CO2 will be delivered at a rate of 1 to 3 bpm.",11/23/2011,,US Dollar,http://abnnewswire.net/press/en/70683/Linc-Energy-Limited-(ASX-LNC)-Commences-Enhanced-Oil-Recovery-with-Injection-of-CO2-in-Wyoming-70683.html
Luzhou Natural Gas Chemicals,Fluor,Luzhou Fertilizer Plant,Capture,Active,Existing,Plant in Operation,China,Sichuan Province,Luzhou City,158.919994719327,Metric Tons Per Day,Post-Combustion,Fluor Corporation’s advanced Econamine FG Plussm Technology,160,Metric Tons Per Day,"CO2 recovered from the exhaust of NH3 reformer unit by a scrubber based on Fluor's Econamine FG Process is used in urea production. The Luzhou plant produces 400,000 t/y synthetic ammonia and 520,000 t/y urea.",,,US Dollar,http://www.zeroco2.no/projects/luzhou-natural-gas-chemicals
Masdar CCS Project,Abu Dhabi Future Energy Company,"Emirates Steel's Mussafah Rolling Mill, a Gas-Fired Power Plant, Aluminum Smelter, EMAL Power Plant",Capture and Storage,Potential,Planned,Developing Infrastructure,United Arab Emirates,Abu Dhabi,"Emirates Steel, Mussafah; UAE (United Arab Emirates) Khalifa Port; Industrial Zone (KPIZ) Taweelah",11781.9996085018,Metric Tons Per Day,Pre-Combustion,Amines,11781.9996085018,Metric Tons Per Day,"Capture 5 million t/y of CO2 gas from three sources: a gas-fired power plant and an aluminum smelter, both located at Taweelah, and a steel mill located at Mussafah. Captured CO2 to be sold, piped, and used for EOR. Phase 1 is capture from steel mill.",01/01/2015,15000000000,US Dollar,http://www.zeroco2.no/projects/masdar-initiative-ccs-projects
Matsushima Coal Plant Capture Project,Japanese Government,Matsushima Coal Power Plant,Capture,Completed,Existing,Capture Complete,Japan,,Matsu-Shima,1000,Megawatt,Post-Combustion,Amines,10,Metric Tons Per Day,CO2 capture facility (10 tons per day) installed to understand long-term effects of impurities on amine scrubber process. Test occurred from July 2006 through 2008.,07/01/2006,,US Dollar,No project-specific link identified.
Membrane-Sorbent Hybrid System for Post-Combustion Carbon Capture,"TDA Research, Inc.",CO2 Technology Centre Mongstad (TCM),Capture,Active,Existing,Engineering design,Norway,Hordaland,Bergen,10,Megawatt,Post-Combustion,MTR-TDA Membrane-Sorbent Hybrid System,,,"1 MWe - Test transformational solvent-based CO2 capture technologies at engineering scales using existing infrastructure, or membrane-based approaches that can be built and tested at a relevant scale that can be easily replicated for larger systems.",,10000025.28,US Dollar,https://www.energy.gov/articles/energy-department-invests-44m-advanced-carbon-capture-technologies-projects
Mesaba Energy Project,Excelsior Energy Inc.,Mesaba Coal IGCC,Capture and Storage,Hold,Planned,Permitting,United States,Minnesota,Taconite,602,Megawatt,Pre-Combustion,ConocoPhillips E-Gas Gasification,12329.9995902926,Metric Tons Per Day,The plant will use ConocoPhillips E-Gas technology for gasification of coal. Primary and backup sites have been selected.,01/01/2012,2000000000,US Dollar,http://www.startribune.com/excelsior-energy-buys-land-for-power-plant-near-taconite-minn/184157431/
MGSC Development Phase - Illinois Basin Decatur Project,Illinois State Geological Survey,ADM Ethanol Facility,Capture and Storage,Completed,Existing,Post-Injection Monitoring,United States,Illinois,Decatur,,,Industrial,Not Currently Specified,999215,Metric Tons Total,"MGSC has partnered with the Archer Daniels Midland (ADM) Company, an agricultural product processing company, to conduct a large-volume, saline sequestration test at ADM’s ethanol by fermentation facility located in Decatur, Illinois.",01/01/2010,109963889,US Dollar,http://www.netl.doe.gov/publications/factsheets/project/NT42588.pdf
MGSC Validation Phase - Loudon Field,Illinois State Geological Survey,Commercial Source,Storage,Completed,,Injection Complete,United States,Illinois,Fayette County,,,,,39,Metric Tons Total,"This mature oil field enhanced oil recovery (EOR) test, also known as a “Huff ’n Puff,” evaluated the potential for geological sequestration of CO2 in mature Illinois Basin oil reservoirs as part of an EOR program.",01/01/2007,28948987,US Dollar,http://sequestration.org/resources/publish/MGSC_HuffnPuff_Loudon.pdf
MGSC Validation Phase - Mumford Hills Field,Illinois State Geological Survey,Commercial Source,Storage,Completed,,,United States,Indiana,Posey County,,,,,6300,Metric Tons Total,"Carbon dioxide injection started in Fall 2009 at the EOR II site in the Mumford Hills field in Posey County, Indiana. The reservoir is located at an average depth of 1,900 feet deep and consists of thick wedges of fine-grained sandstone.",09/01/2009,28948987,US Dollar,http://sequestration.org/mgscprojects/mumfordhills.html
MGSC Validation Phase - Sugar Creek Field,Illinois State Geological Survey,Commercial Source,Storage,Completed,,,United States,Kentucky,Hopkins County,,,,,6560,Metric Tons Total,"In early Summer 2009, CO2 injection started at the EOR III site in the Sugar Creek field in Hopkins County, Kentucky. The reservoir is located at a depth of 1,850 feet and consists of fine-grained sandstone packages interbedded with shales.",04/01/2009,28948987,US Dollar,https://www.osti.gov/servlets/purl/1063888
MGSC Validation Phase - Tanquary Site,Illinois State Geological Survey,Commercial Source,Storage,Completed,,,United States,Illinois,Wabash County,,,,,91,Metric Tons Total,The purpose of this project was to determine the CO2 injection and storage capability and the enhanced coalbed methane recovery potential of Illinois Basin coal seams. The target formation was the Pennsylvanian Carbondale formation.,01/01/2008,28948987,US Dollar,http://www.sequestration.org/resources/publish/TanquaryReportFinal.pdf
Mitchell Energy Bridgeport Plant,Mitchell Energy,Bridgeport,Capture and Storage,Completed,Existing,Capture Complete,United States,Texas,Bridgeport,,,Post-Combustion,Aqueous Amino Acid Salt-Based Solvent,500,Metric Tons Per Day,"The Mitchell Energy Bridgeport, Texas USA plant recovered ~500 ton/day CO2 for EOR.",01/01/1991,,US Dollar,http://www.osti.gov/scitech/biblio/6286644
"Modeling CO2 Sequestration in a Saline Reservoir and Depleted Oil Reservoir to Evaluate The Regional CO2 Sequestration Potential of The Ozark Plateau Aquifer System, South-Central Kansas",University of Kansas,,Storage,Completed,,,United States,Kansas,Several counties in southern Kansas,,,,,,,This project studied potential CO2 storage sites within saline aquifer and depleted oil reservoirs within the Ozark Plateau Aquifer System (OPAS) in south-central Kansas.,12/08/2009,12263491,US Dollar,http://www.netl.doe.gov/File%20Library/Events/2014/carbon_storage/11--L--Watney_J--Rush_J--Raney.pdf
Monash Energy C to L CO2 Capture and Storage Project,Monash Energy,Monash Energy Latrobe Valley CTL Plant,Capture and Storage,Terminated,Planned,Planning,Australia,Victoria,Latrobe Valley,60000,Barrels Per Day,Pre-Combustion,,35619.9988164008,Metric Tons Per Day,The project planned to build a coal-to-liquids plant with CCS demonstration plant using brown coal as the feedstock. ,01/01/2006,5000000000,Australian Dollar,http://globalenergyobservatory.org/geoid/40157
Mongstad Cogeneration Plant with CO2 Storage,Statoil,Mongstad Combined Heat and Power Plant,Capture and Storage,Active,Existing,Plant in Operation,Norway,,Mongstad,630,Megawatt,Post-Combustion,Alstom Chilled Ammonia Process,273.999990895391,Metric Tons Per Day,Full-scale capture and storage plans were cancelled. It was to capture approximately 1.5 million metric tons CO2/yr.,01/01/2010,635000000,US Dollar,http://sequestration.mit.edu/tools/projects/statoil_mongstad.html
Moomba Cooper Basin Carbon Storage Project,Santos,Santos Moomba Facility,Capture and Storage,Hold,Existing,Site Characterization,Australia,South Australia,Cooper Basin,,,,,54799.9981790781,Metric Tons Per Day,Moomba Carbon Storage (MCS) project is planning to store CO2 (20 million metric tons per year for over 50 years) in the Cooper Basin in central Australia that includes EOR.,01/01/2010,560000000,US Dollar,https://www.santos.com/media-centre/announcements/moomba-carbon-storage-demonstration-project/
MOVECBM Project,European Union,Commercial Sources,Storage,Completed,,Post-Injection Monitoring,Poland,,Katowich,15,Metric Tons Per Day,,,15,Metric Tons Per Day,MOVECBM is studying optimum CO2 storage and enhanced coal bed methane production (ECBM) in coal seams. The project lasted for two years ending in 2008.,11/01/2006,3470000,US Dollar,http://cordis.europa.eu/result/rcn/47563_en.html
MRCSP Development Phase - Michigan Basin Project,Battelle Memorial Institute,Natural Gas Processing Facility,Capture and Storage,Active,Existing,Injection Ongoing,United States,Michigan,Gaylord,,,Separation,Gas Separation,1000000,Metric Tons Total,Performing injection test of at least 1 million metric tons of CO2 into geologic formations associated with EOR.,10/01/2005,114878766,US Dollar,http://www.netl.doe.gov/publications/factsheets/project/NT42589.pdf
MRCSP Validation Phase - Appalachian Basin Test,Battelle Memorial Institute,Commercial Source,Storage,Completed,,,United States,Ohio,Shadyside,,,,,50,Metric Tons Total,"This project provided an opportunity to evaluate the feasibility of injecting CO2 into three different deep rock formations at depths between 5,900 and 8,300 feet. These formations, the Oriskany, Salina, and Clinton/Medina.",01/01/2009,28801838,US Dollar,http://www.mrcsp.org/r-e-burger-site---validation-phase
MRCSP Validation Phase - Cincinnati Arch Geologic Test,Battelle Memorial Institute,Commercial Source,Storage,Completed,,,United States,Kentucky,Rabbit Hash,,,,,910,Metric Tons Total,"This saline formation project aims to demonstrate carbon sequestration in the Mt. Simon sandstone formation, a major CO2 sequestration target in the MRCSP region. Site is at Duke Energy's East Bend Generating Station.",01/01/2009,28801838,US Dollar,http://www.mrcsp.org/east-bend-site---validation-phase
MRCSP Validation Phase - Michigan Basin Geologic Test,Battelle Memorial Institute,Turtle Lake Natural Gas Processing Plant,Capture and Storage,Completed,Existing,,United States,Michigan,Otsego County,,,Separation,Gas Separation,60000,Metric Tons Total,"This project involves total injection of approximately 60,000 metric tons of CO2 into a saline formation between depths of 3,400 to 3,500 feet. The test location is the Charlton 30/31 field in Otsego County, Michigan, site of an enhanced oil recovery.",02/01/2008,28801838,US Dollar,http://www.mrcsp.org/michigan-basin-site---validation-phas
Mulgrave Capture Project - CO2CRC,CO2CRC - Cooperative Research Centre for Greenhouse Gas Technologies,Coal Gasifier at HRL Facility,Capture,Completed,Existing,Capture Complete,Australia,Victoria,"Mulgrave, Melbourne",1.09599996358156,Metric Tons Per Day,Pre-Combustion,Amine Ammonia Membrane,741,Metric Tons Total,"Pre-combustion CO2 capture from a brown coal-burning IGCC plant. They are piloting three capture technologies: solvent, membrane, and pressure swing. CO2 captured (Metric Tons Total): 741 metric tons/year.",01/01/2009,4100000,Australian Dollar,https://www.researchgate.net/publication/251711740_Novel_Pre-Combustion_Capture_Technologies_in_Action_-_Results_of_the_CO2CRCHRL_Mulgrave_Capture_Project
Nagaoka Storage Project,Japanese Government,Teikoku Oil Co. Ltd. Natural Gas Field,Storage,Completed,Existing,Injection Complete,Japan,Niigata Prefecture,Nagaoka-city (near),,,,,40,Metric Tons Per Day,"Project is a small-scale field test of CO2 injection into an onshore saline formation 1,100 meters deep. The site was a horizontal homogeneous, high porosity, and permeability Pleistocene sandstone formation. Total of 10,405 metric tons of CO2 injected.",01/01/2003,62000000,US Dollar,https://www.rite.or.jp/English/lab/geological/project_overview.html
Nanko Natural Gas Pilot Plant,Kansai Electric Company,Nanko Power Plant,Capture,Active,Existing,Plant in Operation,Japan,,Osaka,2,Metric Tons Per Day,Post-Combustion,Solvents,2,Metric Tons Per Day,The plant has been used to develop and test solvent CO2 capture techniques. The CO2 is captured from a natural gas-fired boiler.,01/01/1991,,US Dollar,http://www.mhi.co.jp/technology/review/pdf/e551/e551032.pdf
Nebraska Integrated Carbon Capture and Storage Pre-Feasibility Study,Energy & Environmental Research Center - University of North Dakota,,Storage,Potential,,Planning,United States,North Dakota,western Nebraska,,,,,,,Explore the viability of a commercial-scale carbon capture storage (CCS) project in western Nebraska.,01/01/2017,1785884,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029186
Newark Basin Characterization of New York and New Jersey,"Sandia Technologies, LLC",,Storage,Completed,,,United States,New York,New York and New Jersey,,,,,0,Metric Tons Total,Goal is to characterize and assess the potential for storing large amounts of CO2 within the saline formations of the Newark Rift Basin.,12/08/2009,10761139,US Dollar,http://www.netl.doe.gov/File%20Library/Events/2014/carbon_storage/7--Philip-Papadeas.pdf
Nippon Steel CO2 Capture Project,Nippon Steel,Nippon Steel Facilities in Kimitsu Works,Capture,Completed,Existing,Capture Complete,Japan,Chiba Prefecture,Kimitsu,,,,Amines,170,Metric Tons Per Day,Project started in 2004 and plans to end in 2008. April 2010 will start a 30 metric tons/day capture test plant using amine solvent.,01/01/2004,,US Dollar,http://globalenergyobservatory.org/geoid/40207
North Bohemia Clean Coal Project,CEZ Group,New Plant,Capture and Storage,Potential,Planned,Plant Design,Czech Republic,,North Bohemia,660,Megawatt,Separation,,15,% Reduction,CEZ Group is planning to join a planned construction of demonstration low-emission units within the EU. ,01/01/2015,,US Dollar,http://www.cez.hu/en/news/764.html
North Dakota Integrated Carbon Storage Complex Feasibility Study,Energy & Environmental Research Center - University of North Dakota,,Storage,Potential,,Planning,United States,North Dakota,Broom Creek Formation,,,,,,,Determine the feasibility of developing a commercial-scale CO2 geologic storage complex in the Broom Creek Formation in central North Dakota.,06/01/2017,13828290,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029488
Northern Michigan Basin CarbonSAFE Integrated Pre-Feasibility Project ,Battelle Memorial Institute,,Storage,Potential,,Planning,United States,Ohio,Northern Michigan Basin,,,,,,,Battelle will carry out studies to establish the feasibility of developing an integrated commercial-scale carbon capture and storage (CCS) site that will utilize deep geologic strata in the Northern Michigan Basin.,01/01/2017,1328323,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029276
Northwest Upgrader Refinery,North West Redwater,North West Upgrading Refinery,Capture and Storage,Active,In Development,Developing Infrastructure,Canada,Alberta,Amelia,150000,Barrels Per Day,Pre-Combustion,,3287.99989074469,Metric Tons Per Day,The gasification process will break apart the bitumen to produce hydrogen and CO2. The CO2 is in a purchase agreement with Enhance Energy.,01/01/2011,15000000000,US Dollar,http://www.dailyoilbulletin.com/article/2015/5/11/north-west-upgrading-ceo-optimistic-about-projects/
NRG Energy Inc. (Huntley IGCC Project),NRG Energy Inc.,Huntley IGCC,Capture and Storage,Terminated,Planned,Permitting,United States,New York,Tonawanda,680,Megawatt,Pre-Combustion,Mitsubishi HI Gasification (KS-1),65,% Reduction,NRG Energy planned to construct an IGCC plant in New York. The project was canceled in 2008.,01/01/2013,1500000000,US Dollar,http://media.corporate-ir.net/media_files/irol/12/121544/releases/071608.pdf  
NRG Energy Inc. (Somerset Plant),NRG Energy Inc.,Somerset Plant,Capture,Terminated,Existing,Permitting,United States,Massachusetts,Bristol County,380,Megawatt,Pre-Combustion,,,,"NRG Corp of Canada planned to install their plasma gasification technology at Somerset and build a 120-MW coal and biomass unit. Received regulatory approval form Mass. DEP January 25, 2009. Permit application withdrawn on February 3, 2011.",01/01/2010,200000000,US Dollar,http://www.clf.org/wp-content/uploads/2011/02/20110218.DEP-ltr-to-NRG.Termination-Withdrawals.pdf
NRG Powerton Station,NRG Energy Inc.,Powerton Station,Capture,Active,Existing,Plant in Operation,United States,Illinois,Pekin,1538,Megawatt,Post-Combustion,Amines,,,EPRI and five electric utilities in the United States and Canada will host studies of CCS retrofit impacts on existing power plants.,01/01/2009,,US Dollar,https://www.epri.com/#/pages/product/1022678/?lang=en 
Nuon Magnum IGCC Plant with Capture Option,Nuon,Nuon Magnum,Capture and Storage,Hold,In Development,Developing Infrastructure,Netherlands,Gronigen,Esemshaven,1200,Megawatt,Pre-Combustion,Solvents,,,"In 2011, Nuon said it was postponing coal gasification technology to at least 2020.",01/01/2012,1800000000,Euros,http://cleancoal.polsl.pl/pdf/Berkhout.pdf
Nuon Power Buggenum,Nuon,Willem-Alexander Power Plant,Capture,Terminated,Existing,Capture Ongoing,Netherlands,,"near Roermond in Limburg, the Netherlands",253,Megawatt,Pre-Combustion,,821.999972686172,Metric Tons Per Day,"With the pilot in Buggenum, Nuon intends to make CO2 capture technology suitable for the energy sector. The knowledge and experience can then be applied in the new power plant Nuon Magnum in the Eemshaven in Groningen.",02/01/2011,40000000,Euros,http://www.netl.doe.gov/research/coal/energy-systems/gasification/gasifipedia/nuon
Oakdale NG Processing,Blue Source,La Veta NG Plant,Capture and Storage,Active,Existing,Capture Ongoing,United States,Colorado,La Veta (near),,,Separation,,1095.99996358156,Metric Tons Per Day,Natural gas plant successful capture of vent stack CO2 flowing from a natural gas processing plant to an EOR site. The plant will use membrane separation and transport the CO2 over a 16-mile pipeline.,01/01/2007,8000000,US Dollar,http://globalenergyobservatory.org/geoid/40260
Ordos Basin Project,Shenhua Coal Trading,Shenhua CTL Plant,Capture and Storage,Active,Existing,Plant in Operation,China,Inner Mongolia,Ordos Basin,24000,Barrels Per Day,Pre-Combustion,,9589.99968133867,Metric Tons Per Day,"The coal to liquids (CTL) plant will use about 4.1 million MT coal/year to produce 24,000 Barrels/Day. The plant separated and injected 170,000 tons CO2 into the Ordos Basin.",12/30/2008,10000000000,US Dollar,http://www.globalccsinstitute.com/project/shenhua-ordos-ctl-project-phase-2
Otway Basin Project - CO2CRC,CO2CRC - Cooperative Research Centre for Greenhouse Gas Technologies,Buttress No. 1 Well Methane Production,Capture and Storage,Active,,Injection Ongoing,Australia,Victoria,Otway Basin,,,Separation,,80000,Metric Tons Total,Stage 1 of the Otway project is in the post-injection monitoring phase (CO2 injection into a depleted gas field). Stage 2 of the Otway project is beginning with an evaluation of residual gas trapping in saline formations.,04/02/2008,79000000,US Dollar,http://www.co2crc.com.au/otway/
OXYCFB300 Compostilla Project,Endesa,300-MWe Demo Plant at the Compostilla Power Station,Capture and Storage,Active,Existing,Capture Ongoing,Spain,,Cubillos del Sil,323,Megawatt,Oxy-Combustion,Oxy-Fuel Combustion,100000,Metric Tons Total,"300-MWe Circulating Fluidized Bed (CFB) supercritical oxy-combustion plant, with CO2 storage in a deep saline formation. Project has been divided into two distinct phases to significantly reduce the economic and technical risks.",01/01/2009,180000000,Euros,http://www.ieaghg.org/docs/General_Docs/OCC2/Presentations/2_OXYCFB300_Compostilla_OCC2_ML.pdf
PCOR Development Phase - Bell Creek Project,Energy & Environmental Research Center - University of North Dakota,ConocoPhillips Lost Cabin/Madden Gas Plant,Capture and Storage,Completed,Existing,Injection Complete,United States,Montana,Powder River County,50000000,Cubic Foot,Separation,Gas Separation,2739.99990895391,Metric Tons Per Day,"The project brought CO2 from the Lost Cabin gas plant in north-central Wyoming through a 226-mile pipeline. The CO2 will be used for EOR. 900,000 metric tons CO2 per year will be used to recover an incremental 35 million bbl over 20-25 years.",10/01/2007,123097534,US Dollar,http://www.netl.doe.gov/publications/factsheets/project/NT42592.pdf
PCOR Development Phase - Ft. Nelson Project,Energy & Environmental Research Center - University of North Dakota,Ft. Nelson Plant,Capture and Storage,Hold,Existing,Planning,Canada,British Columbia,Ft. Nelson,,,Separation,Amines,5479.99981790781,Metric Tons Per Day,The Fort Nelson project will utilize more than 1 million tons of CO2 per year captured from one of the largest gas processing plants in North America. The CO2 will be compressed and transported in pipeline to the injection site.,01/01/2007,123097534,US Dollar,https://www.undeerc.org/pcor/co2sequestrationprojects/FortNelson.aspx
PCOR Validation Phase - Lignite Test,Energy & Environmental Research Center - University of North Dakota,Commercial Source,Storage,Completed,,,United States,North Dakota,Burke County,,,,,80,Metric Tons Total,"Approximately 82 metric tons (90 tons) of CO2 was injected over a roughly two-week period into a 10- to 12-foot-thick coal seam at a depth of approximately 1,100 feet. Test affirmed CO2 can be safely stored in coal.",10/01/2005,29329948,US Dollar,https://www.undeerc.org/pcor/newsandpubs/pdf/FS10-Lignite-CO2-Sequestration-Test-Unminable-Coal-Seam-North-Dakota.pdf
PCOR Validation Phase - Northwest McGregor EOR Huff n' Puff Project,Energy & Environmental Research Center - University of North Dakota,Commercial Source,Storage,Completed,,,United States,North Dakota,Williams County,,,,,400,Metric Tons Total,"Eagle Operating and the EERC conducted a CO2 “Huff n’ Puff” in the Northwest McGregor Oil Field on the Nesson Anticline in Williston County, North Dakota. A total of 400 metric tons of CO2  was injected into the Madison formation over two days in July 2009.",03/01/2009,29329948,US Dollar,https://www.undeerc.org/pcor/newsandpubs/pdf/FS12A-CO2-Huff-n-Puff-Validation-Test-NW-McGregor.pdf
PCOR Validation Phase - Zama Field Test,Energy & Environmental Research Center - University of North Dakota,Apache Zama Gas Plant,Capture and Storage,Completed,Existing,,Canada,Alberta,Zama City,,,Industrial,Gas Separation,84986,Metric Tons Total,"The field validation test conducted at Apache Canada’s Zama oil field in Alberta, Canada, is evaluating the potential for geologic sequestration of CO2 in an acid gas stream that also includes high concentrations of hydrogen sulfide (H2S).",10/01/2005,29329948,US Dollar,https://www.undeerc.org/pcor/newsandpubs/pdf/RTIP-Zama-Acid-Gas-EOR-CO2-Sequestration-and-Monitoring-Project.pdf
Pembina Cardium CO2 EOR Pilot,PennWest Exploration (formerly Penn West Energy Trust),Commercial Source,Storage,Completed,,,Canada,Alberta,Edmonton (125 km SW),,,,,79,Metric Tons Per Day,"Penn West initiated a CO2 pilot project in 2005 and the first phase of the Pembina Enhanced Recovery Project will include construction of a CO2 supply pipeline, infill drilling, well recompletions, and field facility upgrades.",11/01/2005,250000000,US Dollar,http://www.zeroco2.no/projects/pembina-enhanced-oil-recovery-project
PEMEX CCS Project,Petróleos Mexicanos (PEMEX),Gas Separation at Carmito Gas Field,Capture and Storage,Active,Existing,Injection Ongoing,Mexico,,"Carmito Gas Field, Carmito",,,Separation,Not Currently Specified,8459550,Metric Tons Total,The project is injecting 40 Mcf per day into Carmito field for EOR/EGR,01/01/2004,,US Dollar,http://www.halliburton.com/en-US/ps/solutions/clean-energy/carbon-capture-storage/project-experience/Mexico.page?node-id=hgeyxthv
Pernis Refinery Project,Shell,Pernis Refinery - Gasification Hydrogen Plant,Capture and Storage,Terminated,Existing,Plant in Operation,Netherlands,,"Pernis, Rotterdam",117,Megawatt,Pre-Combustion,,1095.99996358156,Metric Tons Per Day,"Intend to build the first of a new generation of CO2 storage facilities in two depleted natural-gas fields in Barendrecht. Build a gasification hydrogen plant at Pernis Refinery, use excess gas at a 177-MWe IGCC plant, and use the CO2 in gas fields.",,,US Dollar,https://sequestration.mit.edu/tools/projects/barendrecht.html
Petrobras Lula Oil Field Offshore CCS Project,Petrobras,CO2 Reinjection from Lula Oil Field,Capture and Storage,Active,Existing,Injection Ongoing,Brazil,,Lula Oil Field,,,,,1917.99993626773,Metric Tons Per Day,Petrobras has begun CO2 re-injection from an off-shore gas extraction platform in 2013. CO2 is found with the natural gas located within the Lula Oil Field. The CO2 will be captured during gas extraction and then re-injected to enhance NG extraction.,03/01/2011,,US Dollar,http://www.globalccsinstitute.com/project/petrobras-lula-oil-field-ccs-project
